,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
10,Sense and Sensibility,4584,135000000,16500000,7.2,364.0,7.0,"['Drama', 'Romance']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant']","[1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 0, 1, 2]","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']",1995-12-13,9,7,1,17
11,Four Rooms,5,4300000,4000000,6.5,539.0,6.0,"['Crime', 'Comedy']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']","[2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1]","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",1995-12-09,7,14,0,21
12,Ace Ventura: When Nature Calls,9273,212385533,30000000,6.1,1128.0,6.0,"['Crime', 'Comedy', 'Adventure']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']","[2, 2, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 0, 0]","['africa', 'indigenous', 'human animal relationship', 'bat']",1995-11-10,10,1,4,15
13,Money Train,11517,35431113,60000000,5.4,224.0,5.0,"['Action', 'Comedy', 'Crime']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","[2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 2]","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']",1995-11-21,12,2,1,15
14,Get Shorty,8012,115101622,30250000,6.4,305.0,6.0,"['Comedy', 'Thriller', 'Crime']","['John Travolta', 'Gene Hackman', 'Rene Russo']","[2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 0]","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']",1995-10-20,12,2,2,16
15,Assassins,9691,30303072,50000000,6.0,394.0,6.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']","[2, 2, 1, 0, 2, 2, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2]","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']",1995-10-06,8,2,7,17
16,Leaving Las Vegas,451,49800000,3600000,7.1,365.0,7.0,"['Drama', 'Romance']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","[2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2]","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']",1995-10-27,7,7,0,14
17,Now and Then,9263,27400000,12000000,6.6,91.0,6.0,"['Comedy', 'Drama', 'Family']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']","[1, 0, 1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 1, 1, 2]","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",1995-10-20,4,10,2,16
18,The City of Lost Children,902,1738611,18000000,7.6,308.0,7.0,"['Fantasy', 'Science Fiction', 'Adventure']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']","[2, 2, 0, 2, 2, 1, 1, 0, 2, 2, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']",1995-05-16,8,3,10,21
19,Twelve Monkeys,63,168840000,29500000,7.4,2470.0,7.0,"['Science Fiction', 'Thriller', 'Mystery']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","[2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 1, 0, 2, 0, 0, 2, 0, 2]","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']",1995-12-29,13,3,5,21
20,Babe,9598,254134910,30000000,6.0,756.0,6.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']","[1, 1, 2, 2, 1, 2, 1, 0, 0, 0, 2, 2, 1, 0, 2, 0, 1, 0]","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']",1995-07-18,6,6,6,18
21,Dead Man Walking,687,39363635,11000000,7.3,350.0,7.0,['Drama'],"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","[1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 1]","['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']",1995-12-29,13,6,2,21
22,Mortal Kombat,9312,122195920,18000000,5.4,452.0,5.0,"['Action', 'Fantasy']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']","[2, 0, 2, 2, 0, 1, 2, 2, 0, 2, 0]","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']",1995-08-18,6,1,4,11
23,To Die For,577,21284514,20000000,6.7,177.0,6.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']","[1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0]","['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']",1995-05-20,7,5,2,14
24,How To Make An American Quilt,11861,23574130,10000000,6.5,38.0,6.0,"['Drama', 'Romance']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2]","['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']",1995-10-06,6,15,0,21
25,Se7en,807,327311859,33000000,8.1,5915.0,8.0,"['Crime', 'Mystery', 'Thriller']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']","[2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2]","['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']",1995-09-22,18,1,2,21
26,Pocahontas,10530,346079773,55000000,6.7,1509.0,7.0,"['Adventure', 'Animation', 'Drama', 'Family']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']","[1, 2, 2, 2, 2, 2, 1, 1, 2, 0, 2, 2, 0, 2, 2, 2]","['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']",1995-06-14,11,3,2,16
27,The Usual Suspects,629,23341568,6000000,8.1,3334.0,8.0,"['Drama', 'Crime', 'Thriller']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']","[2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0]","['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']",1995-07-19,13,2,3,18
28,Mighty Aphrodite,11448,6700000,15000000,6.7,145.0,6.0,"['Comedy', 'Romance']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']","[2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 0]","['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']",1995-09-13,7,4,1,12
29,Friday,10634,28215918,3500000,7.0,513.0,7.0,['Comedy'],"['Ice Cube', 'Chris Tucker', 'Nia Long']","[2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 0, 2]","['rap music', 'parent child relationship', 'rapper', 'job']",1995-04-26,11,6,1,18
30,From Dusk Till Dawn,755,25836616,19000000,6.9,1644.0,7.0,"['Horror', 'Action', 'Thriller', 'Crime']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']","[2, 2, 2, 1, 0, 1, 2, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 0, 0, 1, 0]","['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']",1996-01-19,11,4,6,21
31,Fair Game,11859,11534477,50000000,4.1,54.0,5.0,"['Action', 'Thriller', 'Romance']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']","[2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 2]","['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']",1995-11-03,13,4,1,18
32,Big Bully,36929,2042530,15000000,3.9,16.0,5.0,"['Comedy', 'Family']","['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']","[2, 2, 1, 1, 2, 2, 2]",['bully'],1996-01-26,5,2,0,7
33,Screamers,9102,5781885,20000000,6.1,154.0,6.0,"['Horror', 'Science Fiction']","['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']","[2, 2, 1, 2, 1, 0, 2, 2, 0]","['man vs machine', 'alien planet', 'struggle for survival']",1995-09-08,5,2,2,9
34,Things to Do in Denver When You're Dead,400,529766,8000000,6.7,87.0,6.0,"['Drama', 'Crime']","['Andy Garc\xc3\xada', 'Christopher Lloyd', 'William Forsythe']","[2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1]","['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']",1995-12-01,10,4,0,14
35,White Squall,10534,10300000,38000000,6.3,86.0,6.0,"['Action', 'Drama']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']",1996-02-02,14,1,0,15
36,Nick of Time,2086,8175346,8169363,6.1,190.0,6.0,"['Crime', 'Drama', 'Thriller']","['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']","[2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2]","['assassination', 'train station', 'politics', 'los angeles']",1995-11-22,8,4,0,12
37,Mary Reilly,9095,12379402,47000000,5.7,77.0,6.0,"['Drama', 'Horror', 'Thriller', 'Romance']","['Julia Roberts', 'John Malkovich', 'George Cole']","[1, 2, 2, 2, 1, 0, 2, 0, 1, 2, 2]","['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']",1996-02-23,6,3,2,11
38,Vampire in Brooklyn,12158,19800000,14000000,4.5,113.0,5.0,"['Comedy', 'Horror', 'Romance']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']","[2, 1, 2, 2, 2, 2, 1, 2, 0]","['vampire', 'half vampire']",1995-10-26,6,2,1,9
39,Broken Arrow,9208,150270147,50000000,5.7,459.0,6.0,"['Action', 'Adventure', 'Drama', 'Thriller']","['John Travolta', 'Christian Slater', 'Samantha Mathis']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]","['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']",1996-02-09,13,1,1,15
40,Bottle Rocket,13685,560069,7000000,6.8,285.0,7.0,"['Comedy', 'Crime', 'Drama']","['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']","[2, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 0]","['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']",1996-02-21,5,1,6,12
41,Happy Gilmore,9614,41205099,12000000,6.5,767.0,6.0,['Comedy'],"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']","[2, 2, 2, 1, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0]","['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']",1996-02-16,10,1,6,17
42,The Bridges of Madison County,688,182016617,24000000,7.3,397.0,7.0,"['Drama', 'Romance']","['Meryl Streep', 'Clint Eastwood', 'Annie Corley']","[1, 2, 1, 2, 2, 0, 0, 1, 1, 0, 0, 0]","['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""love of one's life"", 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']",1995-05-28,3,4,5,12
43,Braveheart,197,210000000,72000000,7.7,3404.0,8.0,"['Action', 'Drama', 'History', 'War']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']","[2, 0, 1, 2, 2, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2]","['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']",1995-05-24,12,1,8,21
44,Taxi Driver,103,28262574,1300000,8.1,2632.0,8.0,"['Crime', 'Drama']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']","[2, 1, 2, 1, 2, 2, 2, 1, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0, 2, 0]","['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']",1976-02-07,11,3,7,21
45,Rumble in the Bronx,33542,32392047,7500000,6.5,245.0,6.0,"['Crime', 'Action', 'Comedy', 'Thriller']","['Jackie Chan', 'Anita Mui', 'Fran\xc3\xa7oise Yip']","[2, 0, 1, 0, 2, 2, 0, 0, 0]","['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']",1995-01-30,3,1,5,9
46,Steal Big Steal Little,78406,6278139,25000000,5.1,7.0,5.0,"['Comedy', 'Drama']","['Andy Garc\xc3\xada', 'Alan Arkin', 'Rachel Ticotin']","[2, 2, 1, 2, 1, 2, 2, 2, 1]","['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']",1995-09-29,6,3,0,9
47,Boomerang,11066,70100000,40000000,5.4,139.0,5.0,"['Comedy', 'Romance']","['Eddie Murphy', 'Robin Givens', 'Halle Berry']","[2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 0, 2]","['role of women', 'ladykiller', 'success', ""ladies' man"", 'chefin', 'casanova', 'womanizer']",1992-06-30,6,6,1,13
48,Flirting with Disaster,2074,14702438,7000000,6.3,66.0,6.0,"['Comedy', 'Romance']","['Ben Stiller', 'Patricia Arquette', 'T\xc3\xa9a Leoni']","[2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 0, 0, 0]","['lsd', 'looking for  birth parents', 'half-brother', 'independent film']",1996-03-22,9,9,3,21
49,Jade,11863,9851610,50000000,5.1,45.0,5.0,"['Action', 'Thriller', 'Mystery', 'Romance']","['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']","[2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 2]","['callgirl', 'san francisco', 'investigation', 'murder']",1995-10-13,15,4,2,21
50,The Birdcage,11000,185260553,31000000,6.7,303.0,7.0,['Comedy'],"['Robin Williams', 'Gene Hackman', 'Nathan Lane']","[2, 2, 2, 1, 2, 2, 2, 1, 1, 2]","['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']",1996-03-08,7,3,0,10
51,Bad Boys,9737,141407024,19000000,6.5,1729.0,6.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Will Smith', 'Martin Lawrence', 'T\xc3\xa9a Leoni']","[2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 1, 2]","['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']",1995-04-07,13,5,3,21
52,An Awfully Big Adventure,22279,851545,4000000,6.0,11.0,5.0,"['Romance', 'Drama', 'Comedy']","['Alan Rickman', 'Hugh Grant', 'Georgina Cates']","[2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 0, 2, 1, 1, 0, 0, 2, 0, 2]","['england', 'based on novel', 'liverpool', 'theatre company', '1940s']",1995-07-21,10,6,4,20
53,Apollo 13,568,355237933,52000000,7.3,1637.0,7.0,['Drama'],"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']","[2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 0, 2, 2]","['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission', 'spacecraft accident']",1995-06-30,14,6,1,21
54,Rob Roy,11780,31596911,28000000,6.5,151.0,6.0,['Adventure'],"['Liam Neeson', 'Jessica Lange', 'John Hurt']","[2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0]","['scotland', 'biography', '18th century', 'highlands', 'violent man']",1995-04-13,10,5,6,21
55,Batman Forever,414,336529144,100000000,5.2,1529.0,5.0,"['Action', 'Crime', 'Fantasy']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']","[2, 2, 2, 1, 2, 2, 2, 1, 1, 0, 2, 2, 2, 1, 2, 0, 2]","['riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure']",1995-06-16,11,4,2,17
56,Blue in the Face,5894,1275000,2000000,6.8,28.0,6.0,['Comedy'],"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']","[2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2]","['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']",1995-09-15,13,6,1,20
57,Casper,8839,287928194,50000000,6.0,1045.0,6.0,"['Fantasy', 'Comedy', 'Family']","['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']","[1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 0, 0, 1, 0, 2, 2]","['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']",1995-05-26,13,5,3,21
58,Clockers,20649,13071518,25000000,6.8,69.0,6.0,"['Mystery', 'Crime', 'Drama']","['Harvey Keitel', 'John Turturro', 'Delroy Lindo']","[2, 2, 2, 2, 2, 2, 0, 1, 0, 0, 2, 0, 0, 2, 1, 2, 0, 2, 2, 2, 2]","['drug pusher', 'train', 'drug', 'drug lord']",1995-09-15,13,2,6,21
59,Congo,10329,152022101,50000000,5.0,214.0,5.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']","['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']","[1, 2, 2, 2, 2, 2, 1, 0, 1, 2, 0, 1, 2, 2, 0, 2, 2, 2, 2, 2, 2]","['gorilla', 'kongo', 'diamond mine', 'diamond']",1995-06-09,14,4,3,21
60,Crimson Tide,8963,157387195,53000000,7.0,508.0,7.0,"['Action', 'Thriller', 'Drama']","['Denzel Washington', 'Gene Hackman', 'Matt Craven']","[2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]","['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']",1995-05-12,16,0,2,18
61,Desperado,8068,25405445,7000000,6.8,898.0,7.0,"['Thriller', 'Action', 'Crime']","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']","[2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 0, 0, 1]","['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']",1995-08-25,10,2,4,16
